Codigo	Nome	Nome_iupac	Familia	Especie	Smile	HBA	HBD	Atividade_biologica	Localizacao	Localizacao_arquivo	massa_molecular	Formula_molecular	Logp	Referencia	Data	Datamod	Hora	Tipo
VE0AAA0SF	Catechol	Benzeno-1,2-diol	AMARANTHACEAE	Gomphrena vaga Mart.	OC1=CC=CC=C1O	2	2	No information	É uma espécie de amola localização no Brasil, encontrando-se nos estados de Pernambuco, Paraíba, Bahia, Minas Gerais, Rio de Janeiro, São Paulo, Rio Grande do Sul, Paraná e Santa Catarina.	Molecules\VE0AAA0SF.mol	110.11	C6H6O2	0.88	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 23.	2012-6-12	2014-27-1	8:47:20	Natural
VE0BAA0SF	Ácido caféico	(2E)-3-(3,4-dihidroxifenil)prop-2-enoico acido	AMARANTHACEAE	Annona glabra L.	OC(=O)\C=C\C1=CC(O)=C(O)C=C1	4	3	No information.	É uma espécie de ampla distribuição no Brasil, encontrando-se nos estados de Pernambuco, Paraíba, Bahia, Minas Gerais, Rio de Janeiro, São Paulo, Rio Grande do Sul, Paraná e Santa Catarina.	Molecules\VE0BAA0SF.mol	180.16	C9H8O4	1.15	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 23.	2012-6-12	2014-28-10	14:35:41	Natural
VE0CAA0AF	Urundeuvina	(5S,6S)-6,7-bis[(2,4-dihidroxifenil)carbonil]-5- (4-hidroxifenil)-5,6-dihidronaftaleno-2,3-diol 	ANACARDIACEAE	Myracrodruon urundeuva Alemão	OC1=CC=C(C=C1)[C@@H]1[C@H](C(=O)C2=CC=C(O)C=C2O)C(=CC2=CC(O)=C(O)C=C12)C(=O)C1=C(O)C=C(O)C=C1	9	7	Analgesic, Anti-inflammatory, Antidiarrheal and Antioxidant 	Distribui-se região Chaquenha na Argentina, Paraguai e Bolívia, em todos os Estados das regiões Nordeste e Centro-Oeste, como também em São Paulo e Minas Gerais, sua ocorrência está associada a ambientes secos de cerrados e caatingas em terrenos pedregoso.	Molecules\VE0CAA0AF.mol	526.49	C30H22O9	5.19	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 30.	2012-6-12	2014-27-1	8:55:37	Natural
VE0DAA0SF	6-eicosanil-2-hidroxi-4-metoxibenzoato	metil 2-hidroxi-6-icosil-4-metoxibenzoato	ANACARDIACEAE	Schnopsis Brasiliensis Engl.	CCCCCCCCCCCCCCCCCCCCC1=CC(OC)=CC(O)=C1C(=O)OC	2	1	No information	Distribui-se na Bolívia e norte do Paraguai e, no Brasil desde o Ceará até Minas Gerais e Mato Grosso.	Molecules\VE0DAA0SF.mol	462.7	C29H50O4	12.49	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 32.	2012-6-12	2014-27-1	8:57:55	Natural
VE0EAA0SF	3β-hidroxi-5-adianeno	(4aR,6bS,8aR,11R,12S,12aR,12bS,14aR,14bR)- 4,4,6b,8a,11,12,12b,14b-octamethyl- 1,2,3,4,4a,5,6b,7,8,8a,9,10,11,12,12a,12b,13,14,14a,14b- icosahydropicen-3-one 	ANACARDIACEAE	Schinus terebinthifolius Engl.	C[C@@H]1CC[C@]2(C)CC[C@]3(C)C4=CC[C@H]5C(C)(C)C(=O)CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@@H]2[C@H]1C	1	0	No information	Distribui-se no Brasil desde Pernambuco ao Rio Grande do Sul, seguindo pelo litoral, também na parte continental para oeste, nos estados de Minas Gerais e região Sul. Ocorre também no Paraguai, Uruguai e nordeste da Argentina. Cultivada em várias partes do Velho Mundo, da América Central e do Sul dos Estados Unidos.	Molecules\VE0EAA0SF.mol	424.7	C30H48O	4.45	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 33	2012-6-12	2014-27-1	9:0:16	Natural
VE0FAA0SF	Ácido mirtifônico	(1S,2R,4aS,6aS,12aR,12bR,14aS,14bS)-1,2,6a,9,9,12a,14a-heptamethyl-10-oxo- 1,2,3,4,4a,5,6,6a,8,8a,9,10,11,12,12a,12b,13,14,14a,14b-icosahydropicene-4a-carboxylic acid 	ANACARDIACEAE	Schinus terebinthifolius Engl.	C[C@@H]1CC[C@@]2(CC[C@]3(C)C4=CCC5C(C)(C)C(=O)CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@@H]2[C@H]1C)C(O)=O	3	1	No information	Distribui-se no Brasil desde Pernambuco ao Rio Grande do Sul, seguindo pelo litoral, também na parte continental para oeste, nos estados de Minas Gerais e região Sul. Ocorre também no Paraguai, Uruguai e nordeste da Argentina. Cultivada em várias partes do Velho Mundo, da América Central e do Sul dos Estados Unidos.	Molecules\VE0FAA0SF.mol	454.68	C30H46O3	4.58	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 33.	2012-6-12	2014-27-1	9:1:56	Natural
VE0GAA0AF	Annomalida	(1S,2S,5R,9R,12R,13S,18R)-13-hydroxy-5-(2- hydroxyacetyl)-5,12-dimethyl-10,14- dioxapentacyclo[11.2.2.11,9.02,7.012,18 ]octadec-7- en-11-one	ANNONACEAE	Annona Coriacea Mart.	C[C@]12[C@@H]3[C@H](OC1=O)C=C1C[C@@](C)(CC[C@@H]1[C@@]31CC[C@]2(O)OC1)C(=O)CO	4	2	No information	Citada para São Paulo, Minas gerais e Bahia, ocorrendo em campos.	Molecules\VE0GAA0AF.mol	362.42	C20H26O6	3.24	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 36.	2012-6-12	2014-22-29	9:52:49	Natural
VE0HAA0SI	Liriodenina	3,5-dioxa-11- azapentacyclo [10.7.1.02,6.08,20}.014,19icosa- 1,6,8(20),9,11,14(19),15,17-octaen-13-one	ANNONACEAE	Annona glabra L	O=C1C2=C(C=CC=C2)C2=C3OCOC3=CC3=C2C1=NC=C3	2	0	 Molluscicidal,  Insecticide, Antifungal, Antibacterial,  Anthelmintic, Cytotoxic, Antimalarial and  Antitumor	Registrada no Rio de Janeiro, Espírito Santo, Bahia e Maranhão.	Molecules\VE0HAA0SI.mol	275.26	C17H9NO3	3.39	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 39.	2012-6-12	2014-22-29	10:10:22	Natural
VE0IAA0AF	Annoglacina A	(5S)-5-methyl-3-[(2R,10R,15R)-2,10,15-trihydroxy- 15-[(2S,5R)-5-[(1S)-1-hydroxytridecyl]oxolan-2- yl] pentadecyl]-2,5-dihydrofuran-2-one 	ANNONACEAE	Annona glabra L	CCCCCCCCCCCC[C@H](O)[C@H]1CC[C@H](O1)[C@H](O)CCCC[C@H](O)CCCCCCC[C@@H](O)CC1=C[C@H](C)OC1=O	5	4	 Molluscicidal,  Insecticide, Antifungal, Antibacterial,  Anthelmintic, Cytotoxic, Antimalarial and  Antitumor	Registrada no Rio de Janeiro, Espírito Santo, Bahia e Maranhão.	Molecules\VE0IAA0AF.mol	624.93	C37H68O7	9.5	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 39.	2012-6-24	2014-22-29	10:11:11	Natural
VE0JAA0AF	Blumenol A	(4S)-4-hydroxy-4-[(1E,3R)-3-hydroxybut-1-en-1-yl]- 3,5,5-trimethylcyclohex-2-en-1-one 	ANNONACEAE	Annona glabra L	C[C@@H](O)\C=C\[C@@]1(O)C(C)=CC(=O)CC1(C)C	2	3	 Molluscicidal,  Mnsecticide, Antifungal, Antibacterial,  Anthelmintic, Cytotoxic, Antimalarial and  Antitumor	Registrada no Rio de Janeiro, Espírito Santo, Bahia e Maranhão.	Molecules\VE0JAA0AF.mol	224.3	C13H20O3	0.55	LUCCHESE, Angelica Maria; VALE, Ademir Evangelista do (Et al.). Plantas da caatinga: perfil botanico, fitoquimica e atividade biologica.Recife: Associação das Plantas do Nordeste, IMSEAR, 2006. 297p (Instituto do Milenio do Semi-arido; v.6), pag. 39.	2012-6-24	2014-22-29	10:11:57	Natural
